binomial,family,family_correct,binomial_correct
Zachaenus sanctaecatharinae,Cycloramphidae,Cycloramphidae,Cycloramphus bolitoglossus
Zachaenus parvulus,Cycloramphidae,Cycloramphidae,Zachaenus parvulus
Zachaenus carvalhoi,Cycloramphidae,Cycloramphidae,Zachaenus carvalhoi
Xenorhina rostrata,Microhylidae,Microhylidae,Xenorhina rostrata
Xenorhina oxycephala,Microhylidae,Microhylidae,Xenorhina oxycephala
Xenorhina ocellata,Microhylidae,Microhylidae,Xenorhina ocellata
Xenorhina minima,Microhylidae,Microhylidae,Xenorhina minima
Xenorhina macrops,Microhylidae,Microhylidae,Xenorhina macrops
Xenorhina gigantea,Microhylidae,Microhylidae,Xenorhina gigantea
Xenorhina bidens,Microhylidae,Microhylidae,Xenorhina bidens
Xenopus wittei,Pipidae,Pipidae,Xenopus wittei
Xenopus victorianus,Pipidae,Pipidae,Xenopus victorianus
Xenopus vestitus,Pipidae,Pipidae,Xenopus vestitus
Xenopus parafraseri,Pipidae,Pipidae,Xenopus parafraseri
Xenopus muelleri,Pipidae,Pipidae,Xenopus muelleri
Xenopus longipes,Pipidae,Pipidae,Xenopus longipes
Xenopus lenduensis,Pipidae,Pipidae,Xenopus lenduensis
Xenopus largeni,Pipidae,Pipidae,Xenopus largeni
Xenopus laevis,Pipidae,Pipidae,Xenopus laevis
Xenopus kobeli,Pipidae,Pipidae,Xenopus kobeli
Xenopus itombwensis,Pipidae,Pipidae,Xenopus itombwensis
Xenopus gilli,Pipidae,Pipidae,Xenopus gilli
Xenopus fraseri,Pipidae,Pipidae,Xenopus fraseri
Xenopus fischbergi,Pipidae,Pipidae,Xenopus fischbergi
Xenopus clivii,Pipidae,Pipidae,Xenopus clivii
Xenopus borealis,Pipidae,Pipidae,Xenopus borealis
Xenopus allofraseri,Pipidae,Pipidae,Xenopus allofraseri
Xenophrys robusta,Megophryidae,Megophryidae,Xenophrys robusta
Xenophrys parva,Megophryidae,Megophryidae,Xenophrys parva
Xenophrys palpebralespinosa,Megophryidae,Megophryidae,Panophrys palpebralespinosa
Xenophrys omeimontis,Megophryidae,Megophryidae,Panophrys omeimontis
Xenophrys minor,Megophryidae,Megophryidae,Panophrys minor
Xenophrys longipes,Megophryidae,Megophryidae,Xenophrys longipes
Xenophrys baluensis,Megophryidae,Megophryidae,Pelobatrachus baluensis
Xenophrys aceras,Megophryidae,Megophryidae,Xenophrys aceras
Wolterstorffina parvipalmata,Bufonidae,Bufonidae,Wolterstorffina parvipalmata
Wolterstorffina mirei,Bufonidae,Bufonidae,Wolterstorffina mirei
Wolterstorffina chirioi,Bufonidae,Bufonidae,Wolterstorffina chirioi
Werneria tandyi,Bufonidae,Bufonidae,Werneria tandyi
Werneria preussi,Bufonidae,Bufonidae,Werneria preussi
Werneria bambutensis,Bufonidae,Bufonidae,Werneria bambutensis
Vitreorana eurygnatha,Centrolenidae,Centrolenidae,Vitreorana eurygnatha
Vandijkophrynus gariepensis,Bufonidae,Bufonidae,Vandijkophrynus gariepensis
Vandijkophrynus angusticeps,Bufonidae,Bufonidae,Vandijkophrynus angusticeps
Urspelerpes brucei,Plethodontidae,Plethodontidae,Urspelerpes brucei
Uperoleia russelli,Myobatrachidae,Myobatrachidae,Uperoleia russelli
Uperoleia rugosa,Myobatrachidae,Myobatrachidae,Uperoleia rugosa
Uperoleia orientalis,Myobatrachidae,Myobatrachidae,Uperoleia orientalis
Uperoleia marmorata,Myobatrachidae,Myobatrachidae,Uperoleia marmorata
Uperoleia fimbrianus,Myobatrachidae,Myobatrachidae,Uperoleia rugosa
Uperodon taprobanicus,Microhylidae,Microhylidae,Uperodon taprobanicus
Uperodon systoma,Microhylidae,Microhylidae,Uperodon systoma
Typhlonectes natans,Caeciliidae,Typhlonectidae,Typhlonectes natans
Typhlonectes compressicauda,Caeciliidae,Typhlonectidae,Typhlonectes compressicauda
Tylototriton yangi,Salamandridae,Salamandridae,Tylototriton yangi
Tylototriton verrucosus,Salamandridae,Salamandridae,Tylototriton verrucosus
Tylototriton uyenoi,Salamandridae,Salamandridae,Tylototriton uyenoi
Tylototriton podichthys,Salamandridae,Salamandridae,Tylototriton podichthys
Tylototriton asperrimus,Salamandridae,Salamandridae,Tylototriton asperrimus
Tylototriton anguliceps,Salamandridae,Salamandridae,Tylototriton anguliceps
Triturus pygmaeus,Salamandridae,Salamandridae,Triturus pygmaeus
Triturus marmoratus,Salamandridae,Salamandridae,Triturus marmoratus
Triturus karelinii,Salamandridae,Salamandridae,Triturus karelinii
Triturus dobrogicus,Salamandridae,Salamandridae,Triturus dobrogicus
Triturus cristatus,Salamandridae,Salamandridae,Triturus cristatus
Triturus carnifex,Salamandridae,Salamandridae,Triturus carnifex
Triprion petasatus,Hylidae,Hylidae,Triprion petasatus
Trichobatrachus robustus,Arthroleptidae,Arthroleptidae,Trichobatrachus robustus
Trachycephalus venulosus,Hylidae,Hylidae,Trachycephalus typhonius
Trachycephalus typhonius,Hylidae,Hylidae,Trachycephalus typhonius
Trachycephalus nigromaculatus,Hylidae,Hylidae,Trachycephalus nigromaculatus
Trachycephalus mesophaeus,Hylidae,Hylidae,Trachycephalus mesophaeus
Trachycephalus atlas,Hylidae,Hylidae,Trachycephalus atlas
Tomopterna tandyi,Pyxicephalidae,Pyxicephalidae,Tomopterna tandyi
Tomopterna natalensis,Pyxicephalidae,Pyxicephalidae,Tomopterna natalensis
Tomopterna luganga,Pyxicephalidae,Pyxicephalidae,Tomopterna luganga
Tomopterna delalandii,Pyxicephalidae,Pyxicephalidae,Tomopterna delalandii
Tomopterna damarensis,Pyxicephalidae,Pyxicephalidae,Tomopterna damarensis
Tomopterna cryptotis,Pyxicephalidae,Pyxicephalidae,Tomopterna cryptotis
Tlalocohyla smithii,Hylidae,Hylidae,Tlalocohyla smithii
Tlalocohyla picta,Hylidae,Hylidae,Tlalocohyla picta
Tlalocohyla loquax,Hylidae,Hylidae,Tlalocohyla loquax
Tlalocohyla godmani,Hylidae,Hylidae,Tlalocohyla godmani
Thoropa taophora,Cycloramphidae,Cycloramphidae,Thoropa taophora
Thoropa miliaris,Cycloramphidae,Cycloramphidae,Thoropa miliaris
Thorius troglodytes,Plethodontidae,Plethodontidae,Thorius troglodytes
Thorius spilogaster,Plethodontidae,Plethodontidae,Thorius spilogaster
Thorius narismagnus,Plethodontidae,Plethodontidae,Thorius narismagnus
Thorius munificus,Plethodontidae,Plethodontidae,Thorius munificus
Thorius magnipes,Plethodontidae,Plethodontidae,Thorius magnipes
Thorius lunaris,Plethodontidae,Plethodontidae,Thorius lunaris
Thorius infernalis,Plethodontidae,Plethodontidae,Thorius infernalis
Thorius aureus,Plethodontidae,Plethodontidae,Thorius aureus
Thorius arboreus,Plethodontidae,Plethodontidae,Thorius arboreus
Theloderma leporosum,Rhacophoridae,Rhacophoridae,Theloderma leporosum
Theloderma horridum,Rhacophoridae,Rhacophoridae,Theloderma horridum
Tepuihyla obscura,Hylidae,Hylidae,Tepuihyla obscura
Telmatobius vellardi,Ceratophryidae,Telmatobiidae,Telmatobius vellardi
Telmatobius simonsi,Ceratophryidae,Telmatobiidae,Telmatobius simonsi
Telmatobius sanborni,Ceratophryidae,Telmatobiidae,Telmatobius sanborni
Telmatobius rimac,Ceratophryidae,Telmatobiidae,Telmatobius rimac
Telmatobius marmoratus,Ceratophryidae,Telmatobiidae,Telmatobius marmoratus
Telmatobius jelskii,Ceratophryidae,Telmatobiidae,Telmatobius jelskii
Telmatobius culeus,Ceratophryidae,Telmatobiidae,Telmatobius culeus
Telmatobius bolivianus,Ceratophryidae,Telmatobiidae,Telmatobius bolivianus
Telmatobius arequipensis,Ceratophryidae,Telmatobiidae,Telmatobius arequipensis
Taudactylus rheophilus,Myobatrachidae,Myobatrachidae,Taudactylus rheophilus
Taudactylus acutirostris,Myobatrachidae,Myobatrachidae,Taudactylus acutirostris
Taricha torosa,Salamandridae,Salamandridae,Taricha torosa
Taricha sierrae,Salamandridae,Salamandridae,Taricha sierrae
Taricha rivularis,Salamandridae,Salamandridae,Taricha rivularis
Taricha granulosa,Salamandridae,Salamandridae,Taricha granulosa
Tachycnemis seychellensis,Hyperoliidae,Hyperoliidae,Tachycnemis seychellensis
Syncope carvalhoi,Microhylidae,Microhylidae,Chiasmocleis carvalhoi
Synapturanus rabus,Microhylidae,Microhylidae,Synapturanus rabus
Synapturanus mirandaribeiroi,Microhylidae,Microhylidae,Synapturanus mirandaribeiroi
Stumpffia tridactyla,Microhylidae,Microhylidae,Stumpffia tridactyla
Stumpffia grandis,Microhylidae,Microhylidae,Stumpffia grandis
Strongylopus grayii,Pyxicephalidae,Pyxicephalidae,Strongylopus grayii
Strongylopus fuelleborni,Pyxicephalidae,Pyxicephalidae,Strongylopus fuelleborni
Strongylopus fasciatus,Pyxicephalidae,Pyxicephalidae,Strongylopus fasciatus
Strabomantis biporcatus,Strabomantidae,Craugastoridae,Strabomantis biporcatus
Strabomantis anomalus,Strabomantidae,Craugastoridae,Strabomantis anomalus
Stereocyclops parkeri,Microhylidae,Microhylidae,Stereocyclops parkeri
Stereocyclops incrassatus,Microhylidae,Microhylidae,Stereocyclops incrassatus
Stereochilus marginatus,Plethodontidae,Plethodontidae,Stereochilus marginatus
Stefania riae,Hemiphractidae,Hemiphractidae,Stefania riae
Stefania evansi,Hemiphractidae,Hemiphractidae,Stefania evansi
Spinomantis phantasticus,Mantellidae,Mantellidae,Spinomantis phantasticus
Spinomantis peraccae,Mantellidae,Mantellidae,Spinomantis peraccae
Spinomantis aglavei,Mantellidae,Mantellidae,Spinomantis aglavei
Sphenophryne robusta,Microhylidae,Microhylidae,Austrochaperina robusta
Sphenophryne cornuta,Microhylidae,Microhylidae,Sphenophryne cornuta
Sphaerotheca breviceps,Dicroglossidae,Dicroglossidae,Sphaerotheca breviceps
Sphaenorhynchus surdus,Hylidae,Hylidae,Sphaenorhynchus surdus
Sphaenorhynchus prasinus,Hylidae,Hylidae,Sphaenorhynchus prasinus
Sphaenorhynchus planicola,Hylidae,Hylidae,Sphaenorhynchus planicola
Sphaenorhynchus oreophila,Hylidae,Hylidae,Sphaenorhynchus platycephalus
Sphaenorhynchus nana,Hylidae,Hylidae,Tlalocohyla smithii
Sphaenorhynchus lacteus,Hylidae,Hylidae,Sphaenorhynchus lacteus
Sphaenorhynchus dorisae,Hylidae,Hylidae,Sphaenorhynchus dorisae
Sphaenorhynchus carneus,Hylidae,Hylidae,Sphaenorhynchus carneus
Sphaenorhynchus caramaschii,Hylidae,Hylidae,Sphaenorhynchus caramaschii
Speleomantes supramontis,Plethodontidae,Plethodontidae,Speleomantes supramontis
Speleomantes strinatii,Plethodontidae,Plethodontidae,Speleomantes strinatii
Speleomantes italicus,Plethodontidae,Plethodontidae,Speleomantes italicus
Speleomantes imperialis,Plethodontidae,Plethodontidae,Speleomantes imperialis
Spea multiplicata,Scaphiopodidae,Scaphiopodidae,Spea multiplicata
Spea intermontana,Scaphiopodidae,Scaphiopodidae,Spea intermontana
Spea hammondii,Scaphiopodidae,Scaphiopodidae,Spea hammondii
Spea bombifrons,Scaphiopodidae,Scaphiopodidae,Spea bombifrons
Smilisca sordida,Hylidae,Hylidae,Smilisca sordida
Smilisca sila,Hylidae,Hylidae,Smilisca sila
Smilisca phaeota,Hylidae,Hylidae,Smilisca phaeota
Smilisca fodiens,Hylidae,Hylidae,Smilisca fodiens
Smilisca baudinii,Hylidae,Hylidae,Smilisca baudinii
Siren reticulata,Sirenidae,Sirenidae,Siren reticulata
Siren lacertina,Sirenidae,Sirenidae,Siren lacertina
Siren intermedia,Sirenidae,Sirenidae,Siren intermedia
Silverstoneia nubicola,Dendrobatidae,Dendrobatidae,Silverstoneia nubicola
Silverstoneia flotator,Dendrobatidae,Dendrobatidae,Silverstoneia flotator
Silurana tropicalis,Pipidae,Pipidae,Xenopus tropicalis
Silurana epitropicalis,Pipidae,Pipidae,Xenopus epitropicalis
Semnodactylus wealii,Hyperoliidae,Hyperoliidae,Semnodactylus wealii
Scythrophrys sawayae,Leptodactylidae,Leptodactylidae,Scythrophrys sawayae
Scutiger sikimmensis,Megophryidae,Megophryidae,Scutiger sikimmensis
Scutiger occidentalis,Megophryidae,Megophryidae,Scutiger occidentalis
Scutiger nepalensis,Megophryidae,Megophryidae,Scutiger nepalensis
Scutiger mammatus,Megophryidae,Megophryidae,Scutiger mammatus
Scutiger boulengeri,Megophryidae,Megophryidae,Scutiger boulengeri
Scutiger alticola,Megophryidae,Megophryidae,Scutiger boulengeri
Scotobleps gabonicus,Arthroleptidae,Arthroleptidae,Scotobleps gabonicus
Sclerophrys gutturalis,Bufonidae,Bufonidae,Sclerophrys gutturalis
Sclerophrys capensis,Bufonidae,Bufonidae,Sclerophrys capensis
Scinax signatus,Hylidae,Hylidae,Scinax signatus
Scinax tymbamirim,Hylidae,Hylidae,Scinax tymbamirim
Scinax sugillatus,Hylidae,Hylidae,Scinax sugillatus
Scinax staufferi,Hylidae,Hylidae,Scinax staufferi
Scinax squalirostris,Hylidae,Hylidae,Scinax squalirostris
Scinax similis,Hylidae,Hylidae,Scinax similis
Scinax ruber,Hylidae,Hylidae,Scinax ruber
Scinax rostratus,Hylidae,Hylidae,Scinax rostratus
Scinax quinquefasciatus,Hylidae,Hylidae,Scinax quinquefasciatus
Scinax proboscideus,Hylidae,Hylidae,Scinax proboscideus
Scinax perereca,Hylidae,Hylidae,Scinax perereca
Scinax pedromedinae,Hylidae,Hylidae,Scinax pedromedinae
Scinax nebulosus,Hylidae,Hylidae,Scinax nebulosus
Scinax nasicus,Hylidae,Hylidae,Scinax nasicus
Scinax jolyi,Hylidae,Hylidae,Scinax jolyi
Scinax imbegue,Hylidae,Hylidae,Scinax imbegue
Scinax ictericus,Hylidae,Hylidae,Scinax ictericus
Scinax hayii,Hylidae,Hylidae,Scinax hayii
Scinax garbei,Hylidae,Hylidae,Scinax garbei
Scinax fuscovarius,Hylidae,Hylidae,Scinax fuscovarius
Scinax fuscomarginatus,Hylidae,Hylidae,Scinax fuscomarginatus
Scinax funereus,Hylidae,Hylidae,Scinax funereus
Scinax exiguus,Hylidae,Hylidae,Scinax exiguus
Scinax elaeochrous,Hylidae,Hylidae,Scinax elaeochrous
Scinax danae,Hylidae,Hylidae,Scinax danae
Scinax cruentommus,Hylidae,Hylidae,Scinax cruentommus
Scinax crospedospilus,Hylidae,Hylidae,Scinax crospedospilus
Scinax chiquitanus,Hylidae,Hylidae,Scinax chiquitanus
Scinax boulengeri,Hylidae,Hylidae,Scinax boulengeri
Scinax boesemani,Hylidae,Hylidae,Scinax boesemani
Scinax acuminatus,Hylidae,Hylidae,Scinax acuminatus
Schistometopum thomense,Caeciliidae,Dermophiidae,Schistometopum thomense
Schistometopum gregorii,Caeciliidae,Dermophiidae,Schistometopum gregorii
Schismaderma carens,Bufonidae,Bufonidae,Schismaderma carens
Scarthyla ostinodactyla,Hylidae,Hylidae,Scarthyla goinorum
Scaphiopus hurterii,Scaphiopodidae,Scaphiopodidae,Scaphiopus hurterii
Scaphiopus holbrookii,Scaphiopodidae,Scaphiopodidae,Scaphiopus holbrookii
Scaphiopus couchii,Scaphiopodidae,Scaphiopodidae,Scaphiopus couchii
Scaphiophryne calcarata,Microhylidae,Microhylidae,Scaphiophryne calcarata
Scaphiophryne brevis,Microhylidae,Microhylidae,Scaphiophryne brevis
Salamandrina terdigitata,Salamandridae,Salamandridae,Salamandrina terdigitata
Salamandrella keyserlingii,Hynobiidae,Hynobiidae,Salamandrella keyserlingii
Salamandra salamandra,Salamandridae,Salamandridae,Salamandra salamandra
Salamandra infraimmaculata,Salamandridae,Salamandridae,Salamandra infraimmaculata
Salamandra corsica,Salamandridae,Salamandridae,Salamandra corsica
Salamandra atra,Salamandridae,Salamandridae,Salamandra atra
Salamandra algira,Salamandridae,Salamandridae,Salamandra algira
Sachatamia albomaculata,Centrolenidae,Centrolenidae,Sachatamia albomaculata
Sabahphrynus maculatus,Bufonidae,Bufonidae,Sabahphrynus maculatus
Rupirana cardosoi,Cycloramphidae,Leptodactylidae,Rupirana cardosoi
Rulyrana spiculata,Centrolenidae,Centrolenidae,Rulyrana spiculata
Rhyacotriton variegatus,Rhyacotritonidae,Rhyacotritonidae,Rhyacotriton variegatus
Rhyacotriton olympicus,Rhyacotritonidae,Rhyacotritonidae,Rhyacotriton olympicus
Rhyacotriton kezeri,Rhyacotritonidae,Rhyacotritonidae,Rhyacotriton kezeri
Rhyacotriton cascadae,Rhyacotritonidae,Rhyacotritonidae,Rhyacotriton cascadae
Rhombophryne laevipes,Microhylidae,Microhylidae,Rhombophryne laevipes
Rhombophryne alluaudi,Microhylidae,Microhylidae,Plethodontohyla alluaudi
Rhinophrynus dorsalis,Rhinophrynidae,Rhinophrynidae,Rhinophrynus dorsalis
Rhinoderma darwinii,Cycloramphidae,Rhinodermatidae,Rhinoderma darwinii
Rhinella veraguensis,Bufonidae,Bufonidae,Rhinella veraguensis
Rhinella sternosignata,Bufonidae,Bufonidae,Rhinella sternosignata
Rhinella stanlaii,Bufonidae,Bufonidae,Rhinella stanlaii
Rhinella spinulosa,Bufonidae,Bufonidae,Rhinella spinulosa
Rhinella schneideri,Bufonidae,Bufonidae,Rhinella schneideri
Rhinella quechua,Bufonidae,Bufonidae,Rhinella quechua
Rhinella ornata,Bufonidae,Bufonidae,Rhinella ornata
Rhinella ocellata,Bufonidae,Bufonidae,Rhinella ocellata
Rhinella merianae,Bufonidae,Bufonidae,Rhinella merianae
Rhinella martyi,Bufonidae,Bufonidae,Rhinella martyi
Rhinella marina,Bufonidae,Bufonidae,Rhinella marina
Rhinella margaritifera,Bufonidae,Bufonidae,Rhinella margaritifera
Rhinella magnussoni,Bufonidae,Bufonidae,Rhinella magnussoni
Rhinella limensis,Bufonidae,Bufonidae,Rhinella limensis
Rhinella lescurei,Bufonidae,Bufonidae,Rhinella lescurei
Rhinella jimi,Bufonidae,Bufonidae,Rhinella jimi
Rhinella icterica,Bufonidae,Bufonidae,Rhinella icterica
Rhinella humboldti,Bufonidae,Bufonidae,Rhinella humboldti
Rhinella granulosa,Bufonidae,Bufonidae,Rhinella granulosa
Rhinella diptycha,Bufonidae,Bufonidae,Rhinella diptycha
Rhinella crucifer,Bufonidae,Bufonidae,Rhinella crucifer
Rhinella chrysophora,Bufonidae,Bufonidae,Rhinella chrysophora
Rhinella castaneotica,Bufonidae,Bufonidae,Rhinella castaneotica
Rhinella beebei,Bufonidae,Bufonidae,Rhinella beebei
Rhinella arenarum,Bufonidae,Bufonidae,Rhinella arenarum
Rhinella alata,Bufonidae,Bufonidae,Rhinella alata
Rhinella acrolopha,Bufonidae,Bufonidae,Rhinella acrolopha
Rhinatrema shiv,Rhinatrematidae,Rhinatrematidae,Rhinatrema shiv
Rheobates palmatus,Aromobatidae,Aromobatidae,Rheobates palmatus
Rhaebo nasicus,Bufonidae,Bufonidae,Rhaebo nasicus
Rhaebo haematiticus,Bufonidae,Bufonidae,Rhaebo haematiticus
Rhaebo guttatus,Bufonidae,Bufonidae,Rhaebo guttatus
Rhaebo caeruleostictus,Bufonidae,Bufonidae,Rhaebo caeruleostictus
Rhacophorus viridis,Rhacophoridae,Rhacophoridae,Zhangixalus viridis
Rhacophorus turpes,Rhacophoridae,Rhacophoridae,Rhacophorus turpes
Rhacophorus schlegelii,Rhacophoridae,Rhacophoridae,Zhangixalus schlegelii
Rhacophorus robinsonii,Rhacophoridae,Rhacophoridae,Leptomantis robinsonii
Rhacophorus reticulatus,Rhacophoridae,Rhacophoridae,Pseudophilautus reticulatus
Rhacophorus prominanus,Rhacophoridae,Rhacophoridae,Zhangixalus prominanus
Rhacophorus pleurotaenia,Rhacophoridae,Rhacophoridae,Pseudophilautus pleurotaenia
Rhacophorus pardalis,Rhacophoridae,Rhacophoridae,Rhacophorus pardalis
Rhacophorus owstoni,Rhacophoridae,Rhacophoridae,Zhangixalus owstoni
Rhacophorus nigropunctatus,Rhacophoridae,Rhacophoridae,Zhangixalus nigropunctatus
Rhacophorus nigropalmatus,Rhacophoridae,Rhacophoridae,Rhacophorus nigropalmatus
Rhacophorus monticola,Rhacophoridae,Rhacophoridae,Rhacophorus monticola
Rhacophorus microtympanum,Rhacophoridae,Rhacophoridae,Pseudophilautus microtympanum
Rhacophorus microglossus,Rhacophoridae,Rhacophoridae,Zhangixalus schlegelii
Rhacophorus maximus,Rhacophoridae,Rhacophoridae,Zhangixalus smaragdinus
Rhacophorus kio,Rhacophoridae,Rhacophoridae,Rhacophorus kio
Rhacophorus fasciatus,Rhacophoridae,Rhacophoridae,Leptomantis fasciatus
Rhacophorus everetti,Rhacophoridae,Rhacophoridae,Philautus everetti
Rhacophorus edentulus,Rhacophoridae,Rhacophoridae,Rhacophorus edentulus
Rhacophorus dulitensis,Rhacophoridae,Rhacophoridae,Zhangixalus dulitensis
Rhacophorus dugritei,Rhacophoridae,Rhacophoridae,Zhangixalus dugritei
Rhacophorus dubius,Rhacophoridae,Rhacophoridae,Philautus dubius
Rhacophorus dorsoviridis,Rhacophoridae,Rhacophoridae,Zhangixalus dorsoviridis
Rhacophorus chenfui,Rhacophoridae,Rhacophoridae,Zhangixalus chenfui
Rhacophorus bipunctatus,Rhacophoridae,Rhacophoridae,Rhacophorus bipunctatus
Rhacophorus bimaculatus,Rhacophoridae,Rhacophoridae,Leptomantis bimaculatus
Rhacophorus baluensis,Rhacophoridae,Rhacophoridae,Rhacophorus baluensis
Rhacophorus arvalis,Rhacophoridae,Rhacophoridae,Zhangixalus arvalis
Rhacophorus arboreus,Rhacophoridae,Rhacophoridae,Zhangixalus arboreus
Rhacophorus appendiculatus,Rhacophoridae,Rhacophoridae,Kurixalus appendiculatus
Rhacophorus acutirostris,Rhacophoridae,Rhacophoridae,Philautus acutirostris
Rhacophorus achantharrhena,Rhacophoridae,Rhacophoridae,Zhangixalus achantharrhena
Ranodon sibiricus,Hynobiidae,Hynobiidae,Ranodon sibiricus
Ranitomeya biolat,Dendrobatidae,Dendrobatidae,Ranitomeya sirensis
Rana wittei,Ranidae,Ranidae,Amietia wittei
Rana vertebralis,Ranidae,Ranidae,Amietia vertebralis
Rana tuberculosa,Ranidae,Ranidae,Tomopterna tuberculosa
Rana tsushimensis,Ranidae,Ranidae,Rana tsushimensis
Rana tigrina,Ranidae,Ranidae,Hoplobatrachus tigerinus
Rana temporaria,Ranidae,Ranidae,Rana temporaria
Rana tagoi,Ranidae,Ranidae,Rana tagoi
Rana sierrae,Ranidae,Ranidae,Rana sierrae
Rana sakuraii,Ranidae,Ranidae,Rana sakuraii
Rana quekettii,Ranidae,Ranidae,Rana temporaria
Rana pyrenaica,Ranidae,Ranidae,Rana pyrenaica
Rana pretiosa,Ranidae,Ranidae,Rana pretiosa
Rana pirica,Ranidae,Ranidae,Rana pirica
Rana pileata,Ranidae,Ranidae,Limnonectes gyldenstolpei
Rana ornativentris,Ranidae,Ranidae,Rana ornativentris
Rana occipitalis,Ranidae,Ranidae,Hoplobatrachus occipitalis
Rana nutti,Ranidae,Ranidae,Amietia nutti
Rana mwanzae,Ranidae,Ranidae,Hoplobatrachus occipitalis
Rana muscosa,Ranidae,Ranidae,Rana muscosa
Rana modesta,Ranidae,Ranidae,Limnonectes modestus
Rana microtympanum,Ranidae,Ranidae,Limnonectes microtympanum
Rana microdisca,Ranidae,Ranidae,Limnonectes microdiscus
Rana merumontana,Ranidae,Ranidae,Strongylopus merumontanus
Rana martensii,Ranidae,Ranidae,Rana japonica
Rana malabarica,Ranidae,Ranidae,Hydrophylax malabaricus
Rana magna,Ranidae,Ranidae,Limnonectes magnus
Rana macularia,Ranidae,Ranidae,Hydrophylax gracilis
Rana macrotympanum,Ranidae,Ranidae,Hildebrandtia macrotympanum
Rana macroscelis,Ranidae,Ranidae,Papurana arfaki
Rana macrognathus,Ranidae,Ranidae,Limnonectes macrognathus
Rana macrocnemis,Ranidae,Ranidae,Rana macrocnemis
Rana maccarthyensis,Ranidae,Ranidae,Ptychadena bibroni
Rana luteiventris,Ranidae,Ranidae,Rana luteiventris
Rana longirostris,Ranidae,Ranidae,Ptychadena longirostris
Rana longicrus,Ranidae,Ranidae,Rana longicrus
Rana limnocharis,Ranidae,Ranidae,Fejervarya limnocharis
Rana leytensis,Ranidae,Ranidae,Limnonectes leytensis
Rana leithii,Ranidae,Ranidae,Indirana leithii
Rana latastei,Ranidae,Ranidae,Rana latastei
Rana kuhlii,Ranidae,Ranidae,Limnonectes kuhlii
Rana kohchangae,Ranidae,Ranidae,Limnonectes kohchangae
Rana kl,Ranidae,Ranidae,Pelophylax lessonae
Rana kaulbacki,Ranidae,Ranidae,Amolops kaulbacki
Rana kauffeldi,Ranidae,Ranidae,Rana kauffeldi
Rana johnsi,Ranidae,Ranidae,Rana johnsi
Rana japonica,Ranidae,Ranidae,Rana japonica
Rana iberica,Ranidae,Ranidae,Rana iberica
Rana hymenopus,Ranidae,Ranidae,Amietia hymenopus
Rana hongkongensis,Ranidae,Ranidae,Amolops hongkongensis
Rana himalayana,Ranidae,Ranidae,Amolops himalayanus
Rana greenii,Ranidae,Ranidae,Minervarya greenii
Rana grayi,Ranidae,Ranidae,Strongylopus grayii
Rana graeca,Ranidae,Ranidae,Rana graeca
Rana gracilis,Ranidae,Ranidae,Hydrophylax gracilis
Rana godmani,Ranidae,Ranidae,Lithobates vibicarius
Rana galamensis,Ranidae,Ranidae,Amnirana galamensis
Rana fuscigula,Ranidae,Ranidae,Amietia fuscigula
Rana formosa,Ranidae,Ranidae,Amolops formosus
Rana floweri,Ranidae,Ranidae,Ptychadena schillukorum
Rana fasciata,Ranidae,Ranidae,Strongylopus fasciatus
Rana dybowskii,Ranidae,Ranidae,Rana dybowskii
Rana draytonii,Ranidae,Ranidae,Rana draytonii
Rana delalandii,Ranidae,Ranidae,Tomopterna delalandii
Rana darlingi,Ranidae,Ranidae,Amnirana darlingi
Rana dalmatina,Ranidae,Ranidae,Rana dalmatina
Rana cyanophlyctis,Ranidae,Ranidae,Euphlyctis cyanophlyctis
Rana crassipes,Ranidae,Ranidae,Conraua crassipes
Rana coreana,Ranidae,Ranidae,Rana coreana
Rana chensinensis,Ranidae,Ranidae,Rana chensinensis
Rana chaochiaoensis,Ranidae,Ranidae,Rana chaochiaoensis
Rana cascadae,Ranidae,Ranidae,Rana cascadae
Rana cancrivora,Ranidae,Ranidae,Fejervarya cancrivora
Rana caeruleopunctata,Ranidae,Ranidae,Lithobates warszewitschii
Rana brevipalmata,Ranidae,Ranidae,Minervarya brevipalmata
Rana boylii,Ranidae,Ranidae,Rana boylii
Rana beddomii,Ranidae,Ranidae,Indirana beddomii
Rana barbouri,Ranidae,Ranidae,Ptychadena schillukorum
Rana aurora,Ranidae,Ranidae,Rana aurora
Rana arvalis,Ranidae,Ranidae,Rana arvalis
Rana angolensis,Ranidae,Ranidae,Amietia angolensis
Rana amurensis,Ranidae,Ranidae,Rana amurensis
Rana amieti,Ranidae,Ranidae,Amietia chapini
Rana albolabris,Ranidae,Ranidae,Amnirana albolabris
Rana aberdariensis,Ranidae,Ranidae,Amietia nutti
Ramanella variegata,Microhylidae,Microhylidae,Uperodon variegatus
Ramanella triangularis,Microhylidae,Microhylidae,Uperodon triangularis
Ramanella palmata,Microhylidae,Microhylidae,Uperodon palmatus
Ramanella obscura,Microhylidae,Microhylidae,Uperodon obscurus
Ramanella montana,Microhylidae,Microhylidae,Uperodon montanus
Quasipaa verrucospinosa,Dicroglossidae,Dicroglossidae,Quasipaa verrucospinosa
Quasipaa spinosa,Dicroglossidae,Dicroglossidae,Quasipaa spinosa
Quasipaa fasciculispina,Dicroglossidae,Dicroglossidae,Quasipaa fasciculispina
Quasipaa exilispinosa,Dicroglossidae,Dicroglossidae,Quasipaa exilispinosa
